  Name  nsuef,Email Addresshbjjb , Password 12582,Salt %^bh ,Date of Birth   ,Street Name  9x9x ,Parish   hbjjb, Zip   12582,Country  %^bh,Account Branch   ,Loyalty Pointsnsuef ,Gender  ,Contact Number  (raw) ,Signup Date 2018 ,Total Purchases  
 Tia van der Kringle  ,Tia.Kringle@kkhairemporium.com,^Vo91X,c9bb9943bf7e5d90,1968/01/19,Mango Tree Drive #102,Dennery,LC12 301,St. Lucia,Vieux Fort,6690,Non-binary,+ 288390397997  ,2018/11,86
Keisha St. Clair,Keisha.Clair@mail.kkhair.net,dqQbY3,c1ce79fdf29d74b2,1955/02,Queen's Road #95,St. Catherine,71564,Jamaica,Kingston,5003,Female,59637439,2018/04/29,77
Kofi Brathwaite,Kofi.Brathwaite@loyalty.kkhair.com,3Vzj8h$!Be,204e6cc75bce6556,2000/04/21,Coral Ridge #110,Micoud,2070,St. Lucia,Vieux Fort,12826,Female,191-0904-886607326,2018-07-05,71
Chloë St. Clair,CHLO.CLAIR@loyalty.kkhair.com,cz@m1L,b309bf78dd98f67e,1960/02/10,Bamboo Crescent #167,St. Peter Basseterre,KN0101,St. Kitts & Nevis,Charlestown,10870,Prefer not to say,(518) 3784771,2018/10/26,56
 Marlon García  ,Marlon.Garca@kandk-hair.co,htEf$XJYvH,97b8ca5353bc17__,1959/01,Cedar Park #159,Soufrière,5763,St. Lucia,Gros Islet,22,Non-binary,03764747691,2016/06/16,23
Jamal Pérez,Jamal.Prez@mail.kkhair.net,0#iffMpO%CBBVq*1,c037aa005af60302,1981/05/27,Cedar Park #239,Kingston,22142,Jamaica,Spanish Town,1795,Prefer not to say,194-9991-36505,2016/07/13,94
Marlon García,MARLON.GARCA@MAIL.KKHAIR.NET,NsAuUc,3d24764268b54181,1974/02/16,Seaview Terrace #38,St. John Figtree,KN0503,St. Kitts & Nevis,Charlestown,18208,Non-binary,+ 2748066112  ,2016-09-25,83
Sofía Morris,Sofa.Morris@@mail.kkhair.net,op3gi*kp,477615abf41d4739,1985/07/30,Market Street #259,Clarendon,20,Jamaica,Spanish Town,23065,Prefer not to say,+1 (876) 196804505211,2016-04-10,101
Shanice Joseph,Shanice.Joseph@kkhairemporium.com,f*j@nGeEI2PH,b0c0a1d4e8acd7b1,1967/09/16,Coconut Walk #41,Chaguanas,28753,Trinidad & Tobago,Chaguanas,11766,Prefer not to say,+1 (868) 7625384766919530,2017/08/08,67
Jamal Baptiste,JAMAL.BAPTISTE@kkhairemporium.com,q5XkpXXr*Z3b,948cdf13cbc5ff91,1987/08/26,Mango Tree Drive #68,San Fernando,21368,Trinidad & Tobago,Port of Spain,8962,Male,525-6008,2018-12-06,39
Tia Hernández Browne,Tia.Browne@kkhairemporium.com,Qzlyp$IV,0a79474430248873,1979/11/13,Seaview Terrace #39,St. Thomas Lowland,1507,St. Kitts & Nevis,Charlestown,7289,Non-binary,+ 377982402116  ,2016/10/28,27
Kofi Ramdeen,Kofi.Ramdeen@domain_with_space.kkhairemporium.com,XtNu0S7%3BQU#85K,b4d6946f4a9954a6,1961/01/24,Market Street #286,San Fernando,82553,Trinidad & Tobago,Port of Spain,8176,Non-binary,+1 (868) 53882872,2017/06/20,60
 Tia Núñez  ,Tia.Nez@mail.kkhair.net,5kqh8OAjBXUynVrY,1f92887030c289b4,1989/04/07,Queen's Road #237,Chaguanas,00000,Trinidad & Tobago,Port of Spain,19502,Prefer not to say,+ 153334  ,2018/07/12,55
Jermaine Clarke,JERMAINE.CLARKE@loyalty.kkhair.com,@U*T0i^^#l8$Zgqo,4f86ed74f9166355,1983/11/4,Palm Grove #225,St. George Basseterre,5748,St. Kitts & Nevis,Basseterre,22471,Female,83687477,2018/10/13,58
Marlon Alleyne,MARLON.ALLEYNE@kkhairemporium.com,rutpx&qpB#1&,8e4d866609bd51cc,1990-08-16,Coconut Walk #279,St. James,BB14000,Barbados,Bridgetown,6631,Non-binary,435-8498-11846,2016/11,23
Shanice Jean-Baptiste,Shanice.Jean-Baptiste.20@loyalty.kkhair.com,WG^mk0RS,b8527f636d6caf5f,1993/05/14,Mango Tree Drive #250,St. James,BB17001,Barbados,Warrens,18317,Prefer not to say,+1 (246) 341749,2017/12/09,104
Shanice Charles,SHANICE.CHARLES@ kandk-hair.co,!ZoUde,273a909956d8f528,1956-02-23,Cedar Park #269,St. John Figtree,2593,St. Kitts & Nevis,Sandy Point,15082,Female,991-5738-0,2018/02/19,29
Jermaine Browne,Jermaine.Browne_780@kandk-hair.co,whU$X4uI,f3bbe65fe033a93e,1973/06/12,Independence Ave #212,Port of Spain,TT7946,Trinidad & Tobago,San Fernando,13313,Prefer not to say,108-5973-586794336,2018/10/13,48
Tyrone Baptiste,Tyrone.Baptiste@loyalty.kkhair.com,Q%4XXHH4kS,78e8a1480b7ef508,2002/01/11,Queen's Road #117,Clarendon,43908,Jamaica,Kingston,7766,Prefer not to say,+1 (876) 5480780538338569,2016/09/04,76
Dwayne O'Connor,DWAYNE.OCONNOR@mail.kkhair.net,lTa XBwGdOn,4db7ed669ce8d8cd,1977/03,Cedar Park #70,Diego Martin,35764,Trinidad & Tobago,Port of Spain,10999,Male,+1 (868) 0941010276078195,2017/09,33
Mikaël Greenidge,Mikal.Greenidge_884@kkhairemporium.com,P5V I8^AR,b5d15e0cfadf1f23,1971/05,Sugar Cane Way #205,St. George Basseterre,KN0101,St. Kitts & Nevis,Basseterre,6147,Prefer not to say,459-9841-337,2018/10/22,42
  Jéssica  Clarke    ,Jssica.Clarke@mail.kkhair.net,,,,,,,,,,,,,
Shanice  Thompson,Shanice.Thompson@loyalty.kkhair.com,,,,,,,,,,,,,
Sofía Joseph,Sofa.Joseph@kkhairemporium.com,SM^K5B,befe648aa73b25f4,1971/11/06,Cedar Park #71,Diego Martin,TT3154,Trinidad & Tobago,San Fernando,3226,Non-binary,557-6881,2017/11/24,31
Sofía Joseph,Sofa.Joseph@loyalty.kkhair.com,6XnRbL$KoPd$rGK0,17a0edbbb6ba2144,1984/7/31,Bamboo Crescent #232,St. Philip,75097,Barbados,Warrens,12193,Male,41238724,2017/05/23,60
Andre Clarke,Andre.Clarke@loyalty.kkhair.com,7Hn32qzR1!pt,7a05ede80c9344f4,1990/08/23 ,Bamboo Crescent #33,St. Thomas Lowland,KN0101,St. Kitts & Nevis,Charlestown,20565,Male,(170) 05455,2017/08/16,79
Mikaël García,MIKAL.GARCA.980@kandk-hair.co,11$gTaMld#1g,2f2bafa52e77cc17,1992-09-13,Coral Ridge #266,Micoud,LC12 301,St. Lucia,Vieux Fort,22256,Female,+1 (758) 055839,2016/08/09,26
 Andre Browne  ,Andre.Browne.752@kandk-hair.co,F@fxaE*5%vi&,99e3dedc78407925,1991/04/25,Mango Tree Drive #143,St. Andrew,50233,Jamaica,Kingston,8442,Prefer not to say,+1 (876) 832796637958,2018/08/29,109
Tanesha Singh,Tanesha.Singh@loyalty.kkhair.com,BQFlPQ3ZNszJbtWb,c8ccd23544748cf4,1959/09,Hibiscus Lane #118,Soufrière,LC04 101,St. Lucia,Gros Islet,22134,Female,(867) 4857,2016/04,100
Sade Ramdeen,Sade.Ramdeen@mail.kkhair.net,6#XagTRiqY,fd8886d75e1bd38d,1977/07/18,Independence Ave #22,Castries,LC10 201,St. Lucia,Castries,22446,Prefer not to say,+1 (758) 4715203519,2018/12/16,120
D’Andre Brathwaite,DANDRE.BRATHWAITE@LOYALTY.KKHAIR.COM,yxx#820Ax!,1846630c12f11b44,2002/6/8,Mango Tree Drive #152,St. George,BB23026,Barbados,Oistins,19614,Female,+1 (246) 27025996,2016-08-19,27
 Mikaël Joseph  ,MIKAL.JOSEPH-491@LOYALTY.KKHAIR.COM,btrnZ6,6e39e7419724e972,1993/02/15,Harbour View #23,Gros Islet,LC10 201,St. Lucia,Gros Islet,2832,Prefer not to say,580-6247-5,2016/11/02,120
Mikaël Morris,Mikal.Morris@kandk-hair.co,aT3!f2,ae22522ce657b6%^,1979/06/17,Sugar Cane Way #299,Clarendon,20734,Jamaica,Montego Bay,15501,Female,+1 (876) 9432183024,2017/06/26,67
Chloë Núñez,Chlo.Nez_312kkhairemporium.com,PN*#eO,769cb77d670afb96,1959-10-01,Cedar Park #277,Vieux Fort,2958,St. Lucia,Gros Islet,7644,Prefer not to say,021-7047-012,2016/12/13,87
Noël Thompson,Nol.Thompson@mail.kkhair.net,W^n6W4VeTm,77021bb2c672f6c9,1957/07/04,Sugar Cane Way #132,Clarendon,15657,Jamaica,Montego Bay,23075,Non-binary,+ 5259357076509462  ,2018/08/18,82
Kirsten Williams,Kirsten.Williams@kandk-hair.co,ip3$cpdC3aiJ,02e1164fc50beeff,1962/8/5,Coral Ridge #238,Gros Islet,LC10 201,St. Lucia,Castries,3446,Non-binary,964-6077-359,2016/08,104
Tyrone Morris,Tyrone.Morris@,6K^wTfg@Tn27I^18,343ff8e9fe7ba967,2006/12/01,Bamboo Crescent #64,St. Andrew,12,Jamaica,Kingston,20042,Male,646-912,2018/10/02,11
Kirsten Ramdeen,Kirsten.Ramdeen.79@kandk-hair.co,fPY^q$9V,aa5d5148f8f3355c,1972/9/2,Queen's Road #63,St. John Figtree,KN0302,St. Kitts & Nevis,Basseterre,4503,Male,+ 778650  ,2017/07/21,103
Kareem García,Kareem.Garca@mail.kkhair.net,k6MAjqMBMOASF#ji,fb14e51816cbebd5,1978/01,Coral Ridge #52,Diego Martin,80233,Trinidad & Tobago,Port of Spain,17067,Non-binary,+ 06943944  ,2016-05-03,8
Dwayne Williams,Dwayne.Williams@kandk-hair.co,oan^j#*1,3647bea69232af16,1988/02/22,Seaview Terrace #48,St. Peter,BB23026,Barbados,Oistins,5287,Prefer not to say,+ 4554620  ,2016-09-09,43
D’Andre Alleyne,DANDRE.ALLEYNE@loyalty.kkhair.com,,,,,,,,,,,,,
Tanesha Johnson,TANESHA.JOHNSON@kkhairemporium.com,iQ3Oo4mV8vhQwMwv,339583939026bc63,1970/02/09,Independence Ave #3,Castries,LC04 101,St. Lucia,Castries,14752,Non-binary,209-844,2018/10/27,66
Tia Holder,TIA.HOLDER_963@kkhairemporium.com,n1NIpOytod,361a463bc5795804,1977/08/03,Harbour View #245,Port of Spain,00000,Trinidad & Tobago,Port of Spain,4569,Non-binary,+ 4238670  ,2018/08/28,39
Kofi Núñez,Kofi.Nez@mail.kkhair.net,Y8Mg*@!rjf5R,910761b20f49e4b8,1986/1/27,Sunset Blvd #224,Clarendon,18,Jamaica,Spanish Town,5828,Prefer not to say,+ 6398523818289363  ,2016-12-06,58
Chloë Best,CHLO.BEST@loyalty.kkhair.com,6Dk%VEjk2x,6a79e1b0f0ffb099,1990/11,Queen's Road #234,St. John Figtree,9266,St. Kitts & Nevis,Charlestown,13585,Male,+ 1380595194845422  ,2017/11/12,25
José Morris,JOS.MORRIS-214@loyalty.kkhair.com,d0@NRn,d7cb0a082f7f4478,1998/09/05,Bamboo Crescent #239,St. Ann,02,Jamaica,Kingston,20752,Female,+ 8171899  ,2017/12,39
Zoë De la Cruz,Zo.Cruz@kkhairemporium.com,2F@BjlNAEn,c571da8007307d9b,1958/05/11,Independence Ave #35,Arima,00000,Trinidad & Tobago,Chaguanas,8284,Female,(170) 28461687,2017/01/27,8
Devon Singh,Devon.Singh@#.kandk-hair.co,@GBANNqnf0,109c02093637abae,1966-12-12,Mango Tree Drive #76,Dennery,LC10 201,St. Lucia,Vieux Fort,11709,Prefer not to say,(721) 7618989878776,2018/06,110
Rohan Joseph,Rohan.Joseph@kkhairemporium.com,6ufJ#8CeJUoGOR#0,2e7830fc9173bfaa,2006-01-09,Market Street #167,Christ Church,96727,Barbados,Oistins,4594,Female,+1 (246) 44933927,2017/10/09,120
Marlon Joseph,Marlon.Joseph_757@MAIL.KKHAIR.NET,z6JxhSTSRC,891edee54311e4__,1982/11/04,Sunset Blvd #64,San Fernando,00000,Trinidad & Tobago,Chaguanas,14535,Non-binary,(780) 410486671,2017/06,19
Tyrone Dottin,Tyrone.Dottin-577@MAIL.KKHAIR.NET,p#77bD,ae19970e749cdf81,1960/2/13,Hibiscus Lane #263,Port of Spain,TT8246,Trinidad & Tobago,Chaguanas,24270,Male,+1 (868) 69247048,2017/01/27,65
Jéssica Grant,Jssica.Grant@MAIL.KKHAIR.NET,v7V k8h,87e864bcf90a6c4a,1968/11,Sunset Blvd #173,Chaguanas,00000,Trinidad & Tobago,Chaguanas,885,Male,607136,2017/02/21,4
Noël Williams,Nol.Williams-803@mail.kkhair.net,zHrO2pp0nO,984d28aa6ea4c4b1,1979/03/13,Coral Ridge #160,Castries,LC10 201,St. Lucia,Castries,6384,Non-binary,+1 (758) 59358035288,2016/02,63
Andre Jean-Baptiste,Andre.Jean-Baptiste@mail.kkhair.net,qTxJ8@!9GK,8c8719d911d0c4c9,1966/04/18,Seaview Terrace #235,Vieux Fort,LC10 201,St. Lucia,Gros Islet,15159,Male,+ 8546091210407254  ,2017-12-26,77
 Andre Forde  ,ANDRE.FORDE@kandk-hair.co,7d4sYrUn9L,c164b1797884eb47,1999/10/20,Coconut Walk #292,Diego Martin,44414,Trinidad & Tobago,Chaguanas,22893,Non-binary,957-8127-31742,2016/08/06,16
 Sofía De la Cruz  ,Sofa.Cruz@ mail.kkhair.net,Xn70IdJfJXRU,5c7230b04451f9ab,2002/03/07,Independence Ave #227,St. Ann,74273,Jamaica,Montego Bay,5982,Male,35433732783,2017/01/18,44
 Andre Clarke  ,Andre.Clarke-199@loyalty.kkhair.com,WRB@iUT8FodT,62e70b1f67ee734f,1979/09/08,Sugar Cane Way #160,St. George,BB14000,Barbados,Bridgetown,22425,Prefer not to say,+1 (246) 590826800907,2016/02/26,80
Keisha Jean-Baptiste,Keisha.Jean-Baptiste@loyalty.kkhair.com,0eqEAjP%7S,be065601d092ea05,1980-02-03,Hibiscus Lane #13,Port of Spain,TT9408,Trinidad & Tobago,Chaguanas,13867,Prefer not to say,587-5585-09591,2016/03/29,106
Aaliyah Hernández,AALIYAH.HERNNDEZ@mail.kkhair.net,n*pKrfNCIP,8c43fc869693dce8,1994/08/14,Seaview Terrace #287,Couva-Tabaquite-Talparo,TT9368,Trinidad & Tobago,Chaguanas,11793,Non-binary,491-1066-726,2016/07/06,79
Chloë Ramdeen,CHLO.RAMDEEN@kkhairemporium.com,Bo3 IT%sHF4*bI4aL,6cb2ebc5d4175f6a,1965-07-27,Harbour View #248,St. Andrew,03,Jamaica,Kingston,880,Non-binary,895-9153-242,2018/03/06,0
 Rashida Pérez  ,Rashida.Prez@,dzIjFZRy,ad8ee0f1d10f8c38,1977/03/16,Palm Grove #27,St. Thomas Lowland,2299,St. Kitts & Nevis,Sandy Point,9296,Male,+ 8716387621  ,2018-09-05,102
Anaïs Clarke,ANAS.CLARKE@ MAIL.KKHAIR.NET,@NiJv!#UDiGn##8w,852546753a00e364,1955/8/9,Coconut Walk #262,Vieux Fort,6752,St. Lucia,Gros Islet,15826,Female,417-6604-5,2017/04/17,114
Tia De la Cruz,Tia.Cruz@mail.kkhair.net,,,,,,,,,,,,,
 Rohan Ramdeen-Browne  ,Rohan.Ramdeen-Browne.714@kandk-hair.co,Eckno$Hc,8aafab49b4c3a286,1996/01/16,Queen's Road #233,Couva-Tabaquite-Talparo,78587,Trinidad & Tobago,Port of Spain,14846,Male,+ 871355669633  ,2017-12-28,95
Kirsten De la Cruz,Kirsten.Cruz.397@kkhairemporium.com,o3qH2N81vzY&Kr3^,3fe6df1204f21a40,1995/10,Bay Street #66,St. George Basseterre,KN0101,St. Kitts & Nevis,Charlestown,1358,Non-binary,+1 (869) 62446220,2017/11/20,27
Kofi Thompson,Kofi.Thompson@kandk-hair.co,lJbEg@OO^KiJuhsK,6b1f8b06751e04ZZ,1962-09-20,Coral Ridge #7,St. James,16,Jamaica,Kingston,22206,Non-binary,+1 (876) 327737655476,2016/09/17,60
Sade Brathwaite,Sade.Brathwaite@kandk-hair.co,RFBqIw,142b1368771d5fa5,1995/01/20,Hibiscus Lane #290,Kingston,05,Jamaica,Kingston,14743,Female,+ 912759395571  ,2017/01/05,94
Kirsten De la Cruz,Kirsten.Cruz@LOYALTY.KKHAIR.COM,,,,,,,,,,,,,
Sade Joseph,Sade.Joseph@loyalty.kkhair.com,p9vN7dELJ1BC,9cbd92a9d6a3eaf6,1961/02/05,Market Street #188,Kingston,61889,Jamaica,Montego Bay,23056,Non-binary,(656) 00337522,2018-03-20,66
Chloë Williams,CHLO.WILLIAMS@loyalty.kkhair.com,9Vz6qD!Y0f,94d9615f127f45ZZ,1987/06/14,Independence Ave #160,Dennery,LC10 201,St. Lucia,Castries,19901,Non-binary,149-628,2018-08-01,86
 D’Andre Brathwaite  ,DAndre.Brathwaite@kandk-hair.co,Z6dg4#tNMZ3Y,97d096d5b0aa5ad5,1971/07/17 ,Coral Ridge #75,St. Peter Basseterre,KN0503,St. Kitts & Nevis,Sandy Point,24065,Male,+1 (869) 3468927047,2017/05/08,32
Kirsten Alleyne,KIRSTEN.ALLEYNE@MAIL.KKHAIR.NET,$Yv#X%%8vIGG,7b2dad2798177370,2006/12/21,Coconut Walk #241,Diego Martin,00000,Trinidad & Tobago,Chaguanas,6667,Prefer not to say,939-8012-201,2016/07/15,46
Shanice Clarke,SHANICE.CLARKE_951@kandk-hair.co,iLawkv!f,3df5135b073efaZZ,1964/06/09,Seaview Terrace #41,St. James,13,Jamaica,Kingston,9634,Non-binary,343-8715-1547,2016/08/24,80
Mikaël St. Clair,Mikal.Clair_928@KKHAIREMPORIUM.COM,E%b*zKowAvoWbdVB,274b5ec5b4152733,2005/08/07 ,Coconut Walk #85,St. George,BB17001,Barbados,Warrens,16190,Female,+ 167811  ,2018-08-17,94
Kirsten O'Connor,Kirsten.OConnor_520@mail.kkhair.net,,,,,,,,,,,,,
Marlon Brathwaite,MARLON.BRATHWAITE@mail.kkhair.net,FrxdpEqbUnlu,680d6c021b0591__,1997/01/30,Cedar Park #140,St. John Figtree,KN0101,St. Kitts & Nevis,Sandy Point,1606,Prefer not to say,+ 85796886  ,2016/07/02,100
Anaïs  Morris,Anas.Morris@kkhairemporium.com,phpmJQ0@Z741jRqI,03f143ed9a2fe144,2004-10-20,Sugar Cane Way #180,Gros Islet,6002,St. Lucia,Vieux Fort,5313,Prefer not to say,253-2095-928,2018-08-29,46
Latoya Browne,LATOYA.BROWNE@kandk-hair.co,cuGdF#Z2z^NX,984e77acb472dec5,1968/12/14,Queen's Road #116,St. Peter Basseterre,KN0101,St. Kitts & Nevis,Sandy Point,20669,Male,+ 166334  ,2016/08/26,112
Keisha Holder,Keisha.Holder@kandk-hair.co,v^1xByU6eKJI,396894223ea889af,1969/12/15,Sunset Blvd #284,Manchester,33544,Jamaica,Montego Bay,7786,Female,12911647,2016/12,84
Dwayne Browne,Dwayne.Browne-746@kandk-hair.co,^@VpUEah7OpHVj^C,f571ae58a620248c,1976/05/28,Market Street #197,San Fernando,TT4368,Trinidad & Tobago,Port of Spain,20830,Female,606-6961-0,2018/04/26,57
Kofi Johnson,Kofi.Johnson-613@KKHAIREMPORIUM.COM,I4kSbn,5a0462d10815f5d7,1965/02/13,Palm Grove #284,Soufrière,LC12 301,St. Lucia,Vieux Fort,23003,Non-binary,5079669,2018/07/16,33
Andre Núñez Forde,Andre.Forde@kkhairemporium.com,vF&2iTVv%PI6,fd6f570aafff6c%^,1963-12-12,Coral Ridge #112,Manchester,09,Jamaica,Montego Bay,145,Non-binary,+ 3903560285869660  ,2018/05/08,39
Sofía Núñez,SOFA.NEZ_90@kkhairemporium.com,vrWNKn^cqJSL,b7acb7a587fea1ed,1987/07/11,Queen's Road #235,San Fernando,TT5128,Trinidad & Tobago,Chaguanas,23814,Non-binary,+1 (868) 251225846790,2018-10-04,98
Noël Browne,Nol.Browne-577@mail.kkhair.net,Y@GgshC%RIe4ahHl,2494dafa7a26fc7a,1980/07/04,Coconut Walk #67,Clarendon,14,Jamaica,Montego Bay,1951,Non-binary,+1 (876) 0633461,2018/10/17,24
Tyrone Joseph,Tyrone.Joseph@kandk-hair.co,Kni 9kX,7671b99297dd1506,1997/04/11,Market Street #25,Couva-Tabaquite-Talparo,00000,Trinidad & Tobago,Chaguanas,7873,Prefer not to say,677-7736-576,2017/12/14,79
Rohan Lewis,ROHAN.LEWIS@loyalty.kkhair.com,ngrWAO,71467626b29aa0e0,1977-06-19,Independence Ave #217,St. Michael,60529,Barbados,Warrens,23504,Female,+ 14487621  ,2018/05,71
Zoë Lewis,ZO.LEWIS@mail.kkhair.net,g3P9vSveuD,b6ee35b5829b2ca2,1979/10/15,Cedar Park #202,Clarendon,49128,Jamaica,Montego Bay,10532,Male,900-4152,2016/11,112
Tia Baptiste,Tia.Baptiste_515@mail.kkhair.net,fpMW5fD2!s,a140192ef1f78d17,1963/10,Coconut Walk #7,St. John Figtree,KN0101,St. Kitts & Nevis,Sandy Point,8788,Non-binary,+ 5275428328  ,2018/09/30,64
Sofía Forde,Sofa.Forde@kkhairemporium.com,PU11k1,917d7c8d0aba3d32,1984/12/25,Hibiscus Lane #96,Gros Islet,LC12 301,St. Lucia,Castries,16736,Male,69619212,2018/05,57
Rashida García,Rashida.Garca@mail.kkhair.net,0zk2ChSu@gHAXxxS,2d847034f9c03fc6,1963/02/12,Market Street #218,Gros Islet,LC04 101,St. Lucia,Vieux Fort,11888,Non-binary,606-2230,2017/12/14,26
Latoya Greenidge,Latoya.Greenidge@LOYALTY.KKHAIR.COM,beBu8AcBqN,5e9c6a47ad234070,1993/07/06,Seaview Terrace #299,Vieux Fort,9283,St. Lucia,Castries,21670,Female,+1 (758) 53111281779,2017/03/04,54
Tia Campbell,Tia.Campbell@kkhairemporium.com,$JRbyz!gwJ,07fb6b63648a4ead,1963/10/21,Queen's Road #25,Couva-Tabaquite-Talparo,42705,Trinidad & Tobago,San Fernando,16427,Prefer not to say,07126524948,2018/10/22,102
Khadija Campbell,Khadija.Campbell@kkhairemporium.com,4@0IlFZk0T40,454c3a80498968ae,1991/09/20,Sunset Blvd #122,St. Paul Charlestown,9782,St. Kitts & Nevis,Sandy Point,20490,Non-binary,091595,2018/06/27,18
Devon St. Clair,Devon.Clair@KANDK-HAIR.CO,,,,,,,,,,,,,
Kareem Alleyne,Kareem.Alleyne@kandk-hair.co,OHY5zF,80a8df71bd315a63,1970/10/19,Bay Street #215,Christ Church,BB23026,Barbados,Warrens,16658,Female,095804014615,2018-08-14,1
Shanice Forde,SHANICE.FORDE@mail.kkhair.net,GY4DN@KFZD,18363acf274360b9,2003/08/02,Seaview Terrace #90,St. James,BB14000,Barbados,Bridgetown,2837,Female,5940942,2017/08/01,23
Devon Greenidge,Devon.Greenidge@domain_with_space.KANDK-HAIR.CO,*517X3eXv^OjzNcB,f6e996036d756e05,1989/04,Independence Ave #3,Soufrière,LC12 301,St. Lucia,Gros Islet,18325,Female,513-3117-8605,2018/07/08,57
Keisha Ramdeen,Keisha.Ramdeen@kandk-hair.co,t^4 O4I,5706d0ceff358f5c,1996-09-30,Bay Street #208,Chaguanas,85522,Trinidad & Tobago,San Fernando,22872,Non-binary,453-752,2017/09,38
Rashida Williams,Rashida.Williams@kkhairemporium.com,nnoO38FD*S,ed9df1b1d066278d,1960/06,Mango Tree Drive #164,St. Paul Charlestown,KN0101,St. Kitts & Nevis,Basseterre,20499,Non-binary,+1 (869) 563338923495,2017/10/19,43
Sade Jean-Baptiste,Sade.Jean-Baptiste@@kandk-hair.co,zvIs7l,c5ce8fd56f06b8fe,1971/08/20,Sunset Blvd #293,St. Peter,BB14000,Barbados,Oistins,5079,Male,941232806253,2017/05,12
Kareem Lewis,Kareem.Lewis@loyalty.kkhair.com,kHa gDSZC,54df6a909ecbe3dd,1963/04,Bamboo Crescent #188,St. George Basseterre,9593,St. Kitts & Nevis,Basseterre,17691,Prefer not to say,+1 (869) 56434760882,2016/12,69
Aaliyah Joseph,Aaliyah.Joseph@KANDK-HAIR.CO,FcLXfn8u,4076c919f922d787,1958/02,Sunset Blvd #32,Couva-Tabaquite-Talparo,22834,Trinidad & Tobago,Port of Spain,12299,Prefer not to say,284-5541,2016/01/06,42
Kofi Núñez,KOFI.NEZ@loyalty.kkhair.com,$N^2ke,d115c09d03e8a63c,1967/01/12,Coconut Walk #38,Port of Spain,TT7371,Trinidad & Tobago,San Fernando,17881,Non-binary,+ 73216502  ,2017/07/14,27
Devon Thompson,Devon.Thompson_820@@KKHAIREMPORIUM.COM,v%VdvFdSd234,a7763f28eab82559,2006/12,Palm Grove #93,St. Paul Charlestown,KN0101,St. Kitts & Nevis,Sandy Point,21416,Male,+ 895217  ,2016/01/08,104
Kirsten  Singh,Kirsten.Singh@kkhairemporium.com,JiDLEgFv,5f8c4779917fcb86,1978/11,Sugar Cane Way #288,St. Ann,12,Jamaica,Kingston,7365,Female,641-4863-2908,2016/02/11,7
Sofía De la Cruz,SOFA.CRUZ@LOYALTY.KKHAIR.COM,7!vnhg9G,f732f3f80068bc8c,1998/09/02,Mango Tree Drive #151,Vieux Fort,7199,St. Lucia,Gros Islet,160,Prefer not to say,+1 (758) 3660474,2016/01/14,69
Rohan Best,Rohan.Best@kandk-hair.co,KaNBFUoZcrYQ94Vq,dd9163d6cf2ea482,1976/11/24,Bay Street #138,Christ Church,BB17001,Barbados,Oistins,7215,Female,+1 (246) 9539526,2017/12/09,76
Anaïs Greenidge,Anas.Greenidge-635@mail.kkhair.net,I!z57eJf16,9bcafe7c31680af6,1991/01/07,Cedar Park #298,St. George Basseterre,KN0101,St. Kitts & Nevis,Sandy Point,3588,Prefer not to say,+ 69430721  ,2018/10/26,64
Renée Greenidge,Rene.Greenidge@kkhairemporium.com,D0FNipeH,aede34caf52435fb,1969/10/7,Seaview Terrace #299,Port of Spain,00000,Trinidad & Tobago,Chaguanas,17361,Non-binary,585537,2016-05-06,35
Jermaine Hernández,JERMAINE.HERNNDEZ@mail.kkhair.net,GGmINaahIe4V,4731d91ef5d55a94,1973/06/29,Coconut Walk #249,Manchester,29556,Jamaica,Kingston,21039,Prefer not to say,+ 366547587837  ,2016-05-02,41
Devon O'Connor,Devon.OConnor-710mail.kkhair.net,Zan8LCcG,5bc119363dcfeb4f,1955/01/20,Independence Ave #230,Manchester,23446,Jamaica,Montego Bay,6979,Non-binary,642729,2016/02/18,26
Rashida van der Kringle,Rashida.Kringle@kandk-hair.co,SNFjYDiO,d8f4ad19ce516d0c,1964/8/23,Bamboo Crescent #180,St. George Basseterre,4027,St. Kitts & Nevis,Basseterre,7784,Non-binary,+ 973122  ,2016-04-23,91
Tia Greenidge,Tia.Greenidge_754@kandk-hair.co,0JCQCv,d2e0b271ae7537ce,2005/04/01,Queen's Road #171,Chaguanas,00000,Trinidad & Tobago,San Fernando,3904,Female,(055) 7052950,2018/12/24,102
Dwayne Forde,Dwayne.Forde@mail.kkhair.net,YtZFO3deXx,b2b2feb26f8a625e,1978/12/18,Coconut Walk #172,Micoud,LC04 101,St. Lucia,Vieux Fort,16138,Prefer not to say,+ 213461646152  ,2018-06-02,31
D’Andre Williams,DANDRE.WILLIAMS@mail.kkhair.net,anI^nv,e28187e934c3f700,1956/8/16,Market Street #7,St. Catherine,17,Jamaica,Montego Bay,526,Male,405-0810,2017/03/29,82
Zoë García,Zo.Garca_985@kkhairemporium.com,01M1cr,259ded8434b6c51e,1978/12/30,Cedar Park #287,St. Thomas Lowland,KN0101,St. Kitts & Nevis,Basseterre,12739,Female,(920) 3314656571665,2018/11/15,27
Dwayne Ramdeen,Dwayne.Ramdeen@MAIL.KKHAIR.NET,Tf^ XsPyqqC,48fc835d36bbf8ac,1956/03/12,Cedar Park #259,Christ Church,BB17001,Barbados,Warrens,1184,Male,(442) 78859,2018/11/10,22
